time_limit, cost_limit, E_time, E_cost, P_success_inf, P_success_sup, P_success_confidence, time_distribution_low, time_distribution_up, time_distribution_hist, cost_distribution_low, cost_distribution_up, cost_distribution_hist, t_d_dk, t_d_cp, t_d_cc, t_d_dsr,  p_d_dk, p_d_cp, p_d_cc, p_d_dsr, t_a_ad, t_a_ic, t_a_p, t_a_sp, t_a_bf, t_a_ss, t_a_fue, p_a_ad, p_a_ic, p_a_p, p_a_sp, p_a_bf, p_a_ss, p_a_fue, w_a_ad, w_a_ic, w_a_p, w_a_sp, w_a_bf, w_a_ss, w_a_fue, wp_a_ad, wp_a_ic, wp_a_p, wp_a_sp, wp_a_bf, wp_a_ss, wp_a_fue
100000, None, 720.028, 66.8884, 0.901855, 1.0, 0.95, 720.0, 752.0, 9959; 0; 0; 0; 0; 0; 15; 0; 0; 18; 0; 0; 2; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 2; 0; 0; 0; 0; 0; 0; 4, 20.0, 1920.0, 3489; 2373; 1478; 969; 614; 350; 277; 176; 99; 37; 56; 33; 4; 0; 0; 0; 0; 1; 0; 0; 0; 0; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 3; 35; 4; 0; 0; 0; 0; 0; 0; 1, 1000, 1000, 1000, 1000, 1, 0.5, 1, 1, 1, 2, 1, 240, 1, 30, 720, 1, 1, 1, 1, 0.001, 0.2, 1, 100, 0, 0, 20, 0, 10, 10, 200, 500, 200, 0, 1, 0, 0
712, None, 240.343, 490.15, 0.901855, 1.0, 0.95, 240.0, 242.0, 8287; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1713, 240.0, 1621.0, 3584; 1317; 1865; 615; 506; 235; 0; 0; 0; 0; 0; 0; 227; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1364; 287, 1000, 1000, 1000, 1000, 1, 0.5, 1, 1, 1, 2, 1, 240, 1, 30, 720, 1, 1, 1, 1, 0.001, 0.2, 1, 100, 0, 0, 20, 0, 10, 10, 200, 500, 200, 0, 1, 0, 0
235, None, 3.0, 1540.0, 0.901855, 1.0, 0.95, 3.0, 3.0, 10000, 1540.0, 1540.0, 10000, 1000, 1000, 1000, 1000, 1, 0.5, 1, 1, 1, 2, 1, 240, 1, 30, 720, 1, 1, 1, 1, 0.001, 0.2, 1, 100, 0, 0, 20, 0, 10, 10, 200, 500, 200, 0, 1, 0, 0
1, None, None, None, None, None, None, None, None, None, None, None, None, 1000, 1000, 1000, 1000, 1, 0.5, 1, 1, 1, 2, 1, 240, 1, 30, 720, 1, 1, 1, 1, 0.001, 0.2, 1, 100, 0, 0, 20, 0, 10, 10, 200, 500, 200, 0, 1, 0, 0
None, 100000, 2.0, 1331.0, 0.901855, 1.0, 0.95, 2.0, 2.0, 10000, 1331.0, 1341.0, 9997; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 3, 1000, 1000, 1000, 1000, 1, 0.5, 1, 1, 1, 2, 1, 240, 1, 30, 720, 1, 1, 1, 1, 0.001, 0.2, 1, 100, 0, 0, 20, 0, 10, 10, 200, 500, 200, 0, 1, 0, 0
None, 1317, 2.0, 1540.0, 0.0, 0.0981446, 0.95, 2.0, 2.0, 10000, 1540.0, 1540.0, 10000, 1000, 1000, 1000, 1000, 1, 0.5, 1, 1, 1, 2, 1, 240, 1, 30, 720, 1, 1, 1, 1, 0.001, 0.2, 1, 100, 0, 0, 20, 0, 10, 10, 200, 500, 200, 0, 1, 0, 0
None, 1303, 2.0, 1540.0, 0.0, 0.0981446, 0.95, 2.0, 2.0, 10000, 1540.0, 1540.0, 10000, 1000, 1000, 1000, 1000, 1, 0.5, 1, 1, 1, 2, 1, 240, 1, 30, 720, 1, 1, 1, 1, 0.001, 0.2, 1, 100, 0, 0, 20, 0, 10, 10, 200, 500, 200, 0, 1, 0, 0
None, 1289, 13.8813, 1531.71, 0.0, 0.0981446, 0.95, 3.0, 1241.0, 9864; 0; 2; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 82; 0; 11; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 6; 0; 1; 32; 0; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1, 511.0, 1885.0, 1; 2; 5; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 2; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 5; 8; 12; 6; 0; 0; 0; 0; 0; 0; 0; 0; 0; 7; 1653; 6995; 1297; 3; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 2; 0; 0; 1, 1000, 1000, 1000, 1000, 1, 0.5, 1, 1, 1, 2, 1, 240, 1, 30, 720, 1, 1, 1, 1, 0.001, 0.2, 1, 100, 0, 0, 20, 0, 10, 10, 200, 500, 200, 0, 1, 0, 0
None, 1276, 2.0, 1540.0, 0.0, 0.0981446, 0.95, 2.0, 2.0, 10000, 1540.0, 1540.0, 10000, 1000, 1000, 1000, 1000, 1, 0.5, 1, 1, 1, 2, 1, 240, 1, 30, 720, 1, 1, 1, 1, 0.001, 0.2, 1, 100, 0, 0, 20, 0, 10, 10, 200, 500, 200, 0, 1, 0, 0
None, 1263, 2.0, 1540.0, 0.0, 0.0981446, 0.95, 2.0, 2.0, 10000, 1540.0, 1540.0, 10000, 1000, 1000, 1000, 1000, 1, 0.5, 1, 1, 1, 2, 1, 240, 1, 30, 720, 1, 1, 1, 1, 0.001, 0.2, 1, 100, 0, 0, 20, 0, 10, 10, 200, 500, 200, 0, 1, 0, 0
