time_limit, cost_limit, E_time, E_cost, P_success_inf, P_success_sup, P_success_confidence, time_distribution_low, time_distribution_up, time_distribution_hist, cost_distribution_low, cost_distribution_up, cost_distribution_hist, t_d_dk, t_d_cp, t_d_cc, t_d_dsr,  p_d_dk, p_d_cp, p_d_cc, p_d_dsr, t_a_ad, t_a_ic, t_a_p, t_a_sp, t_a_bf, t_a_ss, t_a_fue, p_a_ad, p_a_ic, p_a_p, p_a_sp, p_a_bf, p_a_ss, p_a_fue, w_a_ad, w_a_ic, w_a_p, w_a_sp, w_a_bf, w_a_ss, w_a_fue, wp_a_ad, wp_a_ic, wp_a_p, wp_a_sp, wp_a_bf, wp_a_ss, wp_a_fue
10000, None, 720.034, 69.3652, 0.901855, 1.0, 0.95, 720.0, 780.0, 9954; 0; 0; 30; 0; 8; 2; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 0; 0; 2; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 2, 20.0, 1791.0, 3605; 2331; 1505; 948; 306; 456; 312; 191; 55; 100; 53; 44; 21; 1; 0; 0; 0; 0; 1; 5; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 0; 0; 0; 0; 1; 7; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 49; 7, 1000, 1000, 1000, 1000, 1, 0.5, 1, 1, 1, 2, 1, 240, 1, 30, 720, 1, 1, 1, 1, 0.001, 0.2, 1, 100, 0, 0, 20, 0, 10, 10, 200, 500, 200, 0, 1, 0, 0
2000, None, 354.794, 705.04, 0.901855, 1.0, 0.95, 3.0, 2000.0, 107; 109; 116; 120; 132; 150; 128; 112; 133; 112; 106; 668; 29; 1629; 1157; 0; 1019; 806; 0; 626; 536; 0; 394; 341; 0; 277; 200; 0; 182; 136; 0; 131; 75; 0; 64; 42; 6; 38; 45; 2; 41; 29; 0; 17; 17; 2; 11; 31; 0; 22; 35; 2; 2; 1; 1; 3; 1; 0; 0; 1; 0; 3; 1; 9; 1; 0; 3; 1; 3; 5; 0; 1; 0; 0; 0; 0; 0; 0; 1; 0; 1; 3; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 0; 0; 0; 22, 25.0, 2203.0, 3; 8; 5; 6; 2; 6; 4; 3; 5; 13; 14; 7; 5; 11; 5; 10; 9; 5; 6; 9; 1622; 2288; 1464; 925; 588; 493; 219; 119; 90; 81; 60; 48; 9; 28; 25; 5; 4; 3; 3; 6; 5; 6; 4; 5; 1; 1; 7; 19; 18; 14; 11; 16; 14; 15; 18; 12; 27; 20; 9; 8; 33; 23; 28; 18; 26; 41; 22; 22; 25; 71; 161; 134; 109; 139; 112; 106; 105; 99; 115; 104; 34; 2; 1; 2; 3; 2; 1; 0; 4; 0; 0; 1; 0; 0; 1; 8; 0; 0; 0; 1; 1, 1000, 1000, 1000, 1000, 1, 0.5, 1, 1, 1, 2, 1, 240, 1, 30, 720, 1, 1, 1, 1, 0.001, 0.2, 1, 100, 0, 0, 20, 0, 10, 10, 200, 500, 200, 0, 1, 0, 0
1800, None, 224.852, 1532.41, 0.901855, 1.0, 0.95, 3.0, 1800.0, 105; 1657; 90; 1294; 613; 367; 760; 40; 624; 332; 194; 336; 14; 276; 446; 131; 472; 17; 334; 248; 47; 199; 3; 169; 104; 24; 97; 3; 76; 53; 9; 49; 2; 39; 14; 15; 23; 0; 11; 3; 7; 139; 6; 106; 61; 15; 52; 0; 44; 27; 6; 26; 0; 12; 20; 88; 1; 15; 8; 1; 2; 1; 6; 2; 0; 8; 0; 1; 29; 0; 2; 0; 4; 1; 1; 0; 0; 0; 1; 1; 1; 0; 0; 1; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 12; 0; 0; 0; 0; 2, 39.0, 3091.0, 3; 1; 3; 0; 2; 1; 23; 12; 26; 16; 43; 10; 47; 21; 14; 7; 30; 217; 172; 11; 141; 109; 78; 42; 13; 59; 34; 28; 2; 20; 19; 11; 4; 120; 48; 108; 49; 39; 30; 57; 88; 59; 68; 91; 79; 55; 58; 30; 58; 267; 1552; 1220; 979; 156; 752; 603; 501; 82; 344; 276; 197; 96; 106; 120; 94; 78; 13; 64; 49; 41; 7; 27; 26; 20; 5; 18; 12; 9; 2; 6; 2; 6; 1; 3; 2; 4; 1; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 1, 1000, 1000, 1000, 1000, 1, 0.5, 1, 1, 1, 2, 1, 240, 1, 30, 720, 1, 1, 1, 1, 0.001, 0.2, 1, 100, 0, 0, 20, 0, 10, 10, 200, 500, 200, 0, 1, 0, 0
1600, None, 180.171, 1145.71, 0.901855, 1.0, 0.95, 32.0, 1600.0, 1364; 890; 147; 819; 52; 686; 13; 543; 4; 418; 3; 360; 0; 3393; 20; 685; 5; 247; 4; 101; 15; 26; 6; 9; 1; 3; 1; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 14; 124; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 38; 0; 4; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 3, 240.0, 2074.0, 970; 661; 395; 501; 12; 217; 55; 8; 83; 102; 38; 0; 15; 0; 3; 0; 174; 96; 66; 51; 8; 1; 5; 1; 0; 1; 0; 1; 0; 0; 0; 1; 0; 0; 0; 0; 0; 0; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 1; 0; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1126; 1329; 1453; 1007; 433; 348; 63; 409; 20; 180; 11; 74; 7; 5; 25; 2; 7; 0; 4; 0; 0; 2; 5; 2; 4; 7; 2; 3; 1; 1; 1, 1000, 1000, 1000, 1000, 1, 0.5, 1, 1, 1, 2, 1, 240, 1, 30, 720, 1, 1, 1, 1, 0.001, 0.2, 1, 100, 0, 0, 20, 0, 10, 10, 200, 500, 200, 0, 1, 0, 0
1500, None, 161.899, 1368.87, 0.901855, 1.0, 0.95, 4.0, 1500.0, 64; 1103; 424; 463; 748; 217; 716; 107; 566; 50; 497; 29; 384; 21; 317; 3895; 315; 1; 20; 1; 1; 0; 1; 0; 0; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 4; 22; 0; 21; 0; 2; 0; 0; 0; 0; 0; 1; 0; 0; 0; 0; 0; 0; 0; 2; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 7, 231.0, 2191.0, 14; 502; 28; 393; 35; 297; 30; 244; 22; 182; 21; 141; 11; 102; 27; 35; 35; 47; 18; 37; 16; 39; 8; 34; 2; 21; 1; 20; 3; 27; 1; 31; 6; 0; 0; 0; 0; 0; 0; 0; 0; 1; 0; 0; 0; 0; 0; 1; 0; 0; 0; 8; 22; 42; 18; 49; 14; 41; 14; 23; 8; 14; 6; 19; 2; 15; 43; 195; 1293; 134; 1061; 115; 820; 89; 608; 56; 517; 38; 415; 25; 306; 21; 1266; 242; 6; 1; 0; 0; 2; 4; 2; 0; 0; 1; 0; 0; 0; 0; 3; 10; 0, 1000, 1000, 1000, 1000, 1, 0.5, 1, 1, 1, 2, 1, 240, 1, 30, 720, 1, 1, 1, 1, 0.001, 0.2, 1, 100, 0, 0, 20, 0, 10, 10, 200, 500, 200, 0, 1, 0, 0
1400, None, 284.625, 1331.96, 0.901855, 1.0, 0.95, 3.0, 781.0, 46; 52; 47; 1294; 33; 40; 49; 1069; 27; 22; 31; 806; 24; 29; 22; 663; 19; 16; 14; 479; 22; 20; 20; 371; 14; 12; 325; 16; 5; 8; 224; 10; 13; 11; 428; 7; 11; 11; 354; 5; 8; 8; 283; 3; 8; 57; 166; 1; 5; 68; 89; 3; 1; 117; 3; 2; 2; 106; 1; 2; 1; 72; 1; 1; 1; 51; 1; 1; 2; 45; 1; 2; 8; 29; 1; 0; 23; 4; 0; 0; 22; 0; 1; 0; 19; 0; 0; 1; 16; 1; 1; 0; 2089; 0; 0; 0; 3; 0; 0; 0; 1, 22.0, 2513.0, 12; 394; 340; 19; 223; 204; 10; 158; 9; 132; 89; 12; 66; 47; 45; 63; 9; 35; 19; 4; 28; 38; 69; 92; 8; 58; 45; 9; 40; 5; 44; 37; 4; 28; 16; 1; 27; 2; 17; 11; 1; 11; 43; 25; 4; 18; 30; 5; 22; 6; 76; 90; 12; 106; 110; 61; 66; 36; 54; 28; 39; 235; 1269; 1035; 131; 846; 152; 553; 488; 70; 435; 265; 31; 231; 42; 170; 148; 15; 116; 97; 10; 72; 14; 58; 32; 3; 37; 26; 0; 27; 4; 17; 7; 0; 8; 8; 1; 11; 0; 23; 1, 1000, 1000, 1000, 1000, 1, 0.5, 1, 1, 1, 2, 1, 240, 1, 30, 720, 1, 1, 1, 1, 0.001, 0.2, 1, 100, 0, 0, 20, 0, 10, 10, 200, 500, 200, 0, 1, 0, 0
1500, None, 720.085, 67.8241, 0.901855, 1.0, 0.95, 720.0, 992.0, 9983; 7; 0; 0; 0; 0; 0; 0; 0; 0; 0; 6; 2; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 0, 20.0, 1793.0, 3600; 2318; 1474; 914; 307; 517; 310; 214; 76; 101; 50; 38; 21; 3; 1; 0; 0; 0; 1; 3; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 2; 48; 1, 1000, 1000, 1000, 1000, 1, 0.5, 1, 1, 1, 2, 1, 240, 1, 30, 720, 1, 1, 1, 1, 0.001, 0.2, 1, 100, 0, 0, 20, 0, 10, 10, 200, 500, 200, 0, 1, 0, 0
1400, None, 622.768, 367.711, 0.901855, 1.0, 0.95, 32.0, 1400.0, 130; 0; 127; 0; 95; 0; 73; 0; 41; 9; 2; 43; 0; 45; 0; 431; 0; 268; 0; 172; 13; 45; 141; 0; 122; 0; 108; 0; 65; 0; 65; 0; 39; 21; 0; 47; 0; 35; 0; 29; 0; 22; 0; 8; 11; 0; 11; 0; 11; 0; 7728; 0; 9; 0; 6; 1; 0; 5; 0; 3; 0; 2; 0; 3; 0; 0; 0; 1; 1; 0; 5; 0; 0; 2; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 0; 0; 0; 0; 1; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 2, 41.0, 2445.0, 86; 1985; 1569; 38; 1232; 43; 940; 623; 164; 566; 14; 414; 12; 2; 2; 1; 1; 3; 3; 0; 3; 14; 2; 4; 2; 9; 3; 0; 1; 1; 5; 4; 1; 312; 608; 281; 147; 133; 49; 43; 24; 13; 9; 4; 4; 1; 0; 0; 1; 0; 2; 6; 9; 9; 12; 5; 5; 7; 3; 4; 6; 5; 21; 115; 60; 78; 44; 33; 57; 22; 35; 26; 18; 26; 10; 2; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 2; 1, 1000, 1000, 1000, 1000, 1, 0.5, 1, 1, 1, 2, 1, 240, 1, 30, 720, 1, 1, 1, 1, 0.001, 0.2, 1, 100, 0, 0, 20, 0, 10, 10, 200, 500, 200, 0, 1, 0, 0
1300, None, 724.193, 84.795, 0.901855, 1.0, 0.95, 720.0, 1300.0, 9705; 0; 0; 0; 0; 59; 0; 0; 0; 0; 50; 0; 0; 0; 0; 35; 0; 0; 0; 0; 36; 0; 0; 0; 0; 24; 0; 0; 0; 0; 0; 12; 0; 0; 0; 0; 18; 0; 0; 0; 0; 11; 0; 0; 0; 0; 9; 0; 11; 0; 0; 0; 0; 11; 0; 0; 0; 0; 2; 0; 0; 0; 0; 5; 0; 0; 0; 0; 3; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 2; 0; 0; 0; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 2; 0; 0; 0; 0; 0; 4, 40.0, 1943.0, 3540; 2228; 1544; 948; 633; 383; 245; 173; 111; 79; 19; 32; 16; 9; 2; 10; 0; 1; 3; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 14; 0; 0; 0; 0; 8; 1; 1, 1000, 1000, 1000, 1000, 1, 0.5, 1, 1, 1, 2, 1, 240, 1, 30, 720, 1, 1, 1, 1, 0.001, 0.2, 1, 100, 0, 0, 20, 0, 10, 10, 200, 500, 200, 0, 1, 0, 0
1200, None, 720.043, 68.3706, 0.901855, 1.0, 0.95, 720.0, 782.0, 9960; 0; 0; 14; 14; 0; 1; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 2; 0; 2; 2; 0; 3; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1, 20.0, 2081.0, 4866; 1832; 1152; 765; 486; 314; 217; 128; 91; 50; 30; 13; 2; 0; 0; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 1; 0; 0; 0; 0; 2; 1; 0; 0; 0; 0; 0; 0; 0; 0; 1; 46; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1, 1000, 1000, 1000, 1000, 1, 0.5, 1, 1, 1, 2, 1, 240, 1, 30, 720, 1, 1, 1, 1, 0.001, 0.2, 1, 100, 0, 0, 20, 0, 10, 10, 200, 500, 200, 0, 1, 0, 0
