time_limit, cost_limit, E_time, E_cost, P_success_inf, P_success_sup, P_success_confidence, time_distribution_low, time_distribution_up, time_distribution_hist, cost_distribution_low, cost_distribution_up, cost_distribution_hist, t_d_dk, t_d_cp, t_d_cc, t_d_dsr,  p_d_dk, p_d_cp, p_d_cc, p_d_dsr, t_a_ad, t_a_ic, t_a_p, t_a_sp, t_a_bf, t_a_ss, t_a_fue, p_a_ad, p_a_ic, p_a_p, p_a_sp, p_a_bf, p_a_ss, p_a_fue, w_a_ad, w_a_ic, w_a_p, w_a_sp, w_a_bf, w_a_ss, w_a_fue, wp_a_ad, wp_a_ic, wp_a_p, wp_a_sp, wp_a_bf, wp_a_ss, wp_a_fue
10000, None, 850.385, 661.632, 0.901855, 1.0, 0.95, 240.0, 5230.0, 796; 341; 515; 3; 516; 246; 478; 1; 433; 2987; 699; 116; 183; 177; 192; 99; 141; 149; 138; 80; 100; 102; 98; 61; 70; 69; 79; 32; 86; 318; 73; 36; 37; 57; 36; 29; 35; 29; 30; 20; 22; 20; 19; 15; 15; 22; 19; 12; 7; 37; 8; 9; 7; 7; 11; 6; 6; 3; 8; 3; 1; 7; 4; 7; 5; 3; 4; 0; 4; 2; 1; 2; 2; 2; 1; 1; 2; 0; 0; 0; 0; 0; 1; 1; 0; 0; 0; 0; 0; 0; 0; 1; 1; 2; 0; 0; 0; 1; 1; 0; 1, 250.0, 38622.0, 7517; 1341; 539; 216; 116; 82; 48; 24; 9; 5; 34; 29; 8; 9; 2; 6; 6; 1; 0; 0; 0; 1; 0; 0; 0; 1; 0; 1; 0; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 0; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 0, 10, 100, 200, 1000, 1, 0.5, 1, 1, 8, 4, 1, 240, 1, 30, 720, 0.5, 0.3, 1, 0.8, 0.001, 0.2, 0.8, 100, 0, 0, 20, 0, 10, 10, 200, 500, 200, 0, 1, 0, 0
2000, None, 702.018, 2588.37, 0.901855, 1.0, 0.95, 38.0, 2000.0, 1; 3; 0; 9; 3; 4; 0; 0; 4; 0; 467; 314; 254; 10; 111; 750; 62; 119; 3; 59; 230; 187; 39; 170; 61; 572; 118; 142; 1; 2; 224; 151; 24; 121; 2819; 185; 455; 218; 90; 40; 209; 142; 37; 85; 53; 122; 90; 21; 65; 24; 52; 24; 52; 37; 4; 20; 74; 12; 26; 4; 19; 16; 27; 27; 1; 19; 55; 3; 26; 3; 12; 25; 14; 3; 8; 7; 32; 6; 13; 1; 1; 12; 10; 1; 9; 190; 18; 41; 20; 11; 6; 14; 8; 3; 6; 6; 8; 4; 5; 135, 282.0, 37711.0, 3037; 3086; 672; 174; 121; 90; 306; 288; 47; 51; 104; 312; 224; 35; 47; 72; 159; 161; 50; 47; 58; 87; 63; 39; 27; 42; 59; 66; 29; 20; 23; 33; 49; 27; 16; 24; 21; 23; 15; 7; 9; 13; 14; 13; 3; 7; 8; 7; 13; 13; 6; 3; 6; 8; 4; 3; 7; 3; 5; 3; 3; 3; 2; 1; 2; 4; 0; 4; 2; 1; 0; 0; 2; 0; 2; 1; 2; 0; 2; 0; 1; 0; 2; 1; 0; 0; 1; 0; 0; 1; 1; 0; 0; 0; 1; 0; 0; 0; 0; 1; 1, 10, 100, 200, 1000, 1, 0.5, 1, 1, 8, 4, 1, 240, 1, 30, 720, 0.5, 0.3, 1, 0.8, 0.001, 0.2, 0.8, 100, 0, 0, 20, 0, 10, 10, 200, 500, 200, 0, 1, 0, 0
1800, None, 1068.19, 65.32, 0.820252, 0.919973, 0.95, 750.0, 1800.0, 1572; 0; 1286; 0; 0; 0; 0; 1016; 0; 0; 836; 0; 0; 661; 0; 0; 546; 0; 0; 417; 0; 319; 0; 0; 0; 0; 281; 0; 0; 217; 0; 0; 163; 0; 0; 141; 0; 0; 105; 0; 94; 0; 0; 0; 0; 67; 0; 0; 54; 0; 0; 37; 0; 0; 36; 0; 0; 34; 0; 19; 0; 0; 0; 0; 18; 0; 0; 14; 0; 0; 17; 0; 0; 6; 0; 0; 6; 0; 0; 4; 0; 0; 0; 8; 0; 0; 4; 0; 0; 4; 0; 0; 2; 0; 0; 317; 0; 0; 269; 1430, 20.0, 390.0, 1594; 0; 1251; 0; 0; 752; 0; 0; 1240; 0; 1850; 0; 0; 674; 0; 0; 525; 0; 434; 0; 0; 330; 0; 0; 0; 0; 0; 278; 0; 240; 0; 0; 188; 0; 0; 126; 0; 89; 0; 0; 90; 0; 0; 0; 0; 61; 0; 0; 50; 0; 0; 49; 0; 0; 41; 0; 22; 0; 0; 18; 0; 0; 0; 0; 14; 0; 0; 12; 0; 0; 16; 0; 10; 0; 0; 11; 0; 0; 8; 0; 0; 0; 0; 3; 0; 0; 6; 0; 0; 2; 0; 2; 0; 0; 2; 0; 0; 4; 0; 8, 10, 100, 200, 1000, 1, 0.5, 1, 1, 8, 4, 1, 240, 1, 30, 720, 0.5, 0.3, 1, 0.8, 0.001, 0.2, 0.8, 100, 0, 0, 20, 0, 10, 10, 200, 500, 200, 0, 1, 0, 0
1600, None, 654.138, 5789.37, 0.897759, 0.996418, 0.95, 18.0, 1600.0, 19; 32; 21; 26; 20; 34; 23; 17; 24; 15; 16; 9; 21; 34; 447; 316; 10; 218; 42; 98; 732; 43; 87; 30; 29; 10; 288; 226; 25; 196; 34; 51; 536; 99; 28; 125; 14; 13; 33; 186; 169; 36; 118; 24; 2680; 115; 428; 21; 294; 13; 9; 248; 16; 186; 11; 158; 9; 112; 134; 15; 50; 14; 61; 45; 25; 41; 6; 39; 14; 24; 49; 29; 2; 15; 0; 2; 11; 18; 22; 7; 22; 3; 9; 35; 8; 1; 7; 0; 0; 16; 1; 13; 0; 8; 5; 2; 30; 2; 4; 337, 409.0, 51013.0, 1072; 1741; 47; 58; 1065; 912; 182; 293; 499; 464; 164; 284; 356; 253; 158; 223; 214; 155; 121; 142; 161; 106; 90; 105; 96; 72; 65; 85; 57; 49; 59; 61; 44; 34; 46; 55; 22; 32; 34; 29; 18; 18; 20; 16; 18; 16; 13; 9; 7; 13; 15; 8; 9; 7; 5; 6; 8; 7; 4; 3; 8; 5; 10; 5; 4; 3; 3; 1; 3; 3; 5; 2; 1; 4; 2; 1; 2; 2; 3; 1; 0; 0; 0; 1; 3; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 0; 1; 0; 0; 0; 1, 10, 100, 200, 1000, 1, 0.5, 1, 1, 8, 4, 1, 240, 1, 30, 720, 0.5, 0.3, 1, 0.8, 0.001, 0.2, 0.8, 100, 0, 0, 20, 0, 10, 10, 200, 500, 200, 0, 1, 0, 0
1500, None, 739.192, 2652.11, 0.855061, 0.954924, 0.95, 108.0, 1500.0, 16; 0; 3; 0; 0; 0; 0; 5; 0; 474; 323; 79; 13; 198; 15; 58; 602; 95; 5; 59; 8; 8; 0; 229; 19; 179; 44; 90; 25; 21; 7; 615; 13; 70; 5; 4; 0; 0; 181; 132; 28; 87; 15; 2626; 86; 135; 396; 17; 292; 10; 10; 216; 33; 15; 192; 10; 135; 19; 107; 78; 94; 15; 68; 12; 20; 8; 74; 14; 53; 13; 36; 9; 26; 14; 75; 6; 7; 26; 4; 9; 12; 20; 28; 6; 15; 6; 4; 10; 48; 30; 5; 12; 6; 13; 10; 22; 5; 15; 8; 1040, 283.0, 43610.0, 2924; 3052; 415; 104; 72; 420; 344; 142; 125; 508; 361; 169; 60; 123; 198; 145; 53; 66; 99; 86; 60; 21; 47; 60; 41; 13; 20; 40; 25; 14; 9; 19; 15; 16; 8; 3; 14; 5; 13; 8; 2; 4; 6; 8; 2; 5; 4; 3; 1; 0; 5; 0; 0; 3; 1; 5; 1; 0; 0; 2; 2; 2; 1; 1; 3; 4; 0; 1; 2; 0; 1; 0; 2; 2; 0; 0; 0; 3; 0; 0; 1; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 2; 1; 0; 1; 0; 1, 10, 100, 200, 1000, 1, 0.5, 1, 1, 8, 4, 1, 240, 1, 30, 720, 0.5, 0.3, 1, 0.8, 0.001, 0.2, 0.8, 100, 0, 0, 20, 0, 10, 10, 200, 500, 200, 0, 1, 0, 0
1400, None, 660.493, 4904.1, 0.897759, 0.996418, 0.95, 18.0, 1400.0, 6; 16; 12; 29; 15; 29; 41; 22; 25; 6; 33; 4; 9; 40; 4; 25; 484; 287; 103; 226; 111; 72; 56; 353; 113; 21; 94; 15; 29; 33; 307; 137; 143; 62; 204; 41; 87; 301; 75; 64; 57; 41; 27; 6; 43; 210; 160; 85; 127; 60; 2275; 136; 93; 404; 15; 326; 10; 19; 242; 33; 212; 36; 9; 162; 13; 126; 28; 96; 23; 81; 19; 39; 0; 108; 3; 61; 7; 58; 13; 35; 7; 49; 10; 8; 34; 2; 3; 14; 14; 24; 13; 4; 34; 6; 17; 24; 11; 9; 10; 475, 309.0, 63257.0, 3386; 875; 113; 380; 618; 157; 646; 590; 163; 378; 392; 171; 227; 236; 139; 177; 167; 112; 93; 130; 98; 64; 65; 53; 56; 54; 45; 40; 37; 33; 38; 19; 18; 26; 18; 17; 16; 17; 8; 16; 8; 4; 13; 4; 6; 9; 4; 4; 5; 11; 3; 4; 6; 4; 2; 0; 3; 2; 4; 2; 2; 1; 1; 1; 0; 1; 0; 2; 0; 0; 1; 0; 2; 0; 0; 1; 0; 0; 0; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1, 10, 100, 200, 1000, 1, 0.5, 1, 1, 8, 4, 1, 240, 1, 30, 720, 0.5, 0.3, 1, 0.8, 0.001, 0.2, 0.8, 100, 0, 0, 20, 0, 10, 10, 200, 500, 200, 0, 1, 0, 0
1500, None, 697.789, 859.527, 0.887691, 0.987478, 0.95, 241.0, 1500.0, 492; 297; 0; 232; 0; 0; 104; 628; 137; 1; 6; 119; 3; 0; 0; 275; 0; 188; 0; 203; 0; 0; 67; 543; 118; 0; 55; 67; 2; 0; 52; 191; 0; 138; 20; 135; 0; 1; 2861; 106; 366; 26; 214; 37; 9; 11; 214; 41; 10; 198; 13; 148; 5; 93; 33; 78; 85; 30; 61; 17; 3; 4; 69; 23; 1; 66; 3; 54; 4; 33; 10; 65; 44; 5; 24; 4; 3; 0; 27; 27; 36; 17; 4; 23; 2; 19; 5; 43; 21; 2; 14; 1; 0; 0; 16; 20; 20; 0; 2; 556, 281.0, 9103.0, 385; 768; 829; 1068; 1030; 1055; 1154; 913; 744; 521; 381; 269; 206; 177; 115; 111; 67; 61; 33; 17; 12; 5; 3; 0; 1; 0; 1; 3; 1; 4; 4; 6; 3; 6; 5; 2; 2; 1; 4; 2; 0; 0; 1; 0; 1; 0; 2; 2; 5; 0; 2; 1; 2; 2; 1; 1; 0; 1; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 1; 0; 1; 0; 0; 0; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 0; 0; 1; 2; 0; 0; 0; 0; 1, 10, 100, 200, 1000, 1, 0.5, 1, 1, 8, 4, 1, 240, 1, 30, 720, 0.5, 0.3, 1, 0.8, 0.001, 0.2, 0.8, 100, 0, 0, 20, 0, 10, 10, 200, 500, 200, 0, 1, 0, 0
1400, None, 674.404, 3950.19, 0.87865, 0.978536, 0.95, 39.0, 1400.0, 4; 1; 9; 1; 8; 29; 21; 6; 10; 5; 4; 25; 16; 0; 472; 19; 394; 50; 224; 96; 97; 41; 438; 38; 18; 87; 11; 14; 23; 310; 212; 65; 58; 192; 26; 72; 313; 96; 31; 81; 20; 22; 1; 25; 229; 190; 56; 136; 29; 26; 2833; 58; 307; 18; 64; 30; 15; 4; 210; 16; 188; 44; 120; 33; 84; 56; 141; 77; 40; 102; 8; 43; 85; 28; 10; 96; 6; 65; 12; 50; 34; 41; 7; 35; 6; 4; 1; 26; 30; 37; 2; 22; 5; 2; 14; 29; 18; 2; 17; 0; 474, 292.0, 64549.0, 4203; 1241; 23; 292; 400; 221; 826; 294; 189; 292; 191; 178; 306; 119; 95; 166; 89; 95; 131; 45; 52; 82; 35; 65; 43; 29; 34; 34; 21; 27; 22; 16; 17; 12; 9; 19; 10; 8; 7; 4; 5; 9; 7; 5; 1; 4; 4; 8; 2; 0; 3; 1; 0; 0; 0; 1; 1; 0; 1; 0; 1; 0; 1; 3; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 0, 10, 100, 200, 1000, 1, 0.5, 1, 1, 8, 4, 1, 240, 1, 30, 720, 0.5, 0.3, 1, 0.8, 0.001, 0.2, 0.8, 100, 0, 0, 20, 0, 10, 10, 200, 500, 200, 0, 1, 0, 0
1300, None, 636.468, 4966.04, 0.874377, 0.974272, 0.95, 18.0, 1300.0, 17; 40; 20; 47; 19; 15; 43; 135; 54; 25; 50; 30; 13; 23; 75; 11; 18; 506; 293; 25; 18; 259; 77; 113; 54; 376; 27; 15; 111; 12; 42; 16; 291; 11; 200; 30; 192; 34; 51; 113; 272; 98; 37; 76; 18; 8; 50; 33; 209; 19; 162; 35; 145; 50; 2295; 68; 61; 401; 13; 321; 22; 25; 14; 258; 52; 194; 22; 13; 165; 12; 101; 48; 84; 38; 5; 93; 1; 29; 49; 25; 4; 41; 6; 40; 1; 22; 19; 26; 26; 3; 21; 4; 8; 3; 22; 20; 21; 1; 1; 589, 334.0, 52881.0, 2131; 2972; 213; 58; 111; 286; 136; 233; 380; 254; 189; 234; 278; 175; 159; 175; 162; 108; 134; 126; 120; 106; 106; 111; 89; 69; 71; 71; 64; 56; 53; 52; 32; 32; 41; 27; 33; 35; 42; 27; 16; 18; 18; 18; 11; 16; 12; 9; 15; 10; 6; 11; 6; 4; 8; 9; 6; 0; 6; 2; 6; 5; 3; 3; 4; 0; 4; 1; 2; 4; 5; 1; 1; 1; 1; 1; 0; 0; 0; 0; 1; 0; 0; 0; 0; 0; 1; 0; 0; 1; 1; 0; 0; 0; 0; 0; 0; 0; 0; 1; 1, 10, 100, 200, 1000, 1, 0.5, 1, 1, 8, 4, 1, 240, 1, 30, 720, 0.5, 0.3, 1, 0.8, 0.001, 0.2, 0.8, 100, 0, 0, 20, 0, 10, 10, 200, 500, 200, 0, 1, 0, 0
1200, None, 636.236, 9150.43, 0.831933, 0.931764, 0.95, 18.0, 1200.0, 9; 26; 14; 9; 29; 30; 32; 60; 32; 28; 34; 42; 20; 8; 14; 11; 35; 10; 440; 358; 395; 148; 35; 70; 53; 22; 34; 319; 90; 28; 25; 19; 35; 3; 6; 300; 197; 228; 71; 78; 36; 31; 20; 39; 308; 64; 15; 14; 16; 33; 4; 6; 248; 141; 215; 28; 52; 25; 40; 2465; 179; 368; 102; 33; 151; 59; 80; 13; 61; 48; 57; 78; 29; 27; 23; 29; 19; 20; 81; 22; 16; 10; 7; 36; 2; 10; 24; 41; 20; 21; 8; 7; 15; 4; 35; 19; 10; 9; 10; 1020, 305.0, 69506.0, 957; 106; 334; 747; 69; 917; 488; 159; 844; 359; 348; 505; 202; 367; 440; 162; 338; 301; 166; 244; 163; 141; 206; 115; 113; 147; 79; 84; 83; 59; 67; 83; 52; 52; 47; 39; 40; 31; 24; 37; 29; 24; 31; 23; 15; 18; 16; 8; 10; 6; 8; 11; 8; 8; 8; 4; 4; 2; 7; 3; 6; 4; 7; 3; 1; 1; 2; 4; 3; 1; 1; 1; 1; 1; 0; 0; 2; 0; 0; 1; 0; 0; 0; 0; 0; 1; 0; 0; 0; 0; 0; 0; 1; 0; 0; 0; 0; 0; 0; 0; 1, 10, 100, 200, 1000, 1, 0.5, 1, 1, 8, 4, 1, 240, 1, 30, 720, 0.5, 0.3, 1, 0.8, 0.001, 0.2, 0.8, 100, 0, 0, 20, 0, 10, 10, 200, 500, 200, 0, 1, 0, 0
