time_limit, cost_limit, E_time, E_cost, P_success_inf, P_success_sup, P_success_confidence, time_distribution_low, time_distribution_up, time_distribution_hist, cost_distribution_low, cost_distribution_up, cost_distribution_hist, t_d_dk, t_d_cp, t_d_cc, t_d_dsr,  p_d_dk, p_d_cp, p_d_cc, p_d_dsr, t_a_ad, t_a_ic, t_a_p, t_a_sp, t_a_bf, t_a_ss, t_a_fue, p_a_ad, p_a_ic, p_a_p, p_a_sp, p_a_bf, p_a_ss, p_a_fue, w_a_ad, w_a_ic, w_a_p, w_a_sp, w_a_bf, w_a_ss, w_a_fue, wp_a_ad, wp_a_ic, wp_a_p, wp_a_sp, wp_a_bf, wp_a_ss, wp_a_fue
10000, None, 728.841, 2504.61, 0.901855, 1.0, 0.95, 48.0, 3830.0, 9; 33; 24; 38; 16; 717; 256; 760; 157; 19; 431; 227; 81; 613; 141; 174; 272; 2207; 709; 472; 363; 306; 219; 349; 148; 122; 108; 72; 82; 69; 3; 35; 55; 21; 35; 18; 17; 19; 27; 31; 12; 4; 17; 5; 105; 120; 7; 59; 25; 28; 21; 17; 6; 17; 10; 7; 6; 1; 3; 3; 3; 3; 3; 0; 0; 1; 2; 2; 0; 1; 4; 6; 9; 10; 4; 6; 1; 2; 5; 1; 0; 1; 1; 0; 1; 2; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 2; 0; 0; 2, 320.0, 45203.0, 5645; 1848; 164; 18; 81; 214; 135; 84; 131; 174; 110; 61; 69; 96; 87; 91; 68; 59; 67; 49; 44; 47; 43; 37; 23; 40; 21; 27; 37; 30; 26; 27; 15; 21; 27; 15; 14; 14; 21; 13; 19; 11; 10; 12; 11; 10; 7; 7; 10; 11; 9; 8; 10; 7; 3; 4; 1; 7; 4; 4; 4; 3; 1; 3; 3; 1; 4; 2; 0; 4; 2; 1; 1; 3; 0; 0; 0; 0; 1; 0; 0; 0; 0; 0; 0; 3; 0; 1; 2; 0; 1; 0; 0; 0; 0; 0; 0; 0; 1; 0; 1, 10, 100, 200, 1000, 1, 0.5, 1, 1, 8, 4, 1, 240, 1, 30, 720, 0.5, 0.3, 1, 0.8, 0.001, 0.2, 0.8, 100, 0, 0, 20, 0, 10, 10, 200, 500, 200, 0, 1, 0, 0
2000, None, 1123.25, 1168.53, 0.887691, 0.987478, 0.95, 720.0, 5780.0, 2391; 1172; 1606; 1005; 353; 283; 405; 206; 109; 66; 123; 88; 41; 27; 47; 23; 24; 10; 8; 194; 496; 182; 128; 218; 134; 40; 39; 47; 34; 16; 14; 13; 15; 8; 13; 2; 5; 3; 3; 45; 92; 37; 46; 21; 31; 9; 11; 4; 8; 5; 5; 3; 1; 0; 1; 2; 1; 0; 0; 17; 6; 8; 10; 8; 3; 3; 3; 3; 0; 1; 0; 1; 0; 3; 0; 1; 0; 1; 0; 5; 1; 4; 3; 2; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 3, 254.0, 5812.0, 9; 11; 21; 59; 81; 109; 246; 329; 214; 383; 657; 638; 2001; 1516; 869; 451; 171; 103; 55; 32; 36; 35; 31; 46; 60; 108; 118; 136; 179; 208; 155; 241; 139; 71; 30; 17; 16; 10; 3; 11; 13; 17; 21; 25; 21; 29; 40; 47; 33; 31; 26; 8; 3; 0; 2; 2; 3; 3; 5; 5; 5; 6; 10; 6; 8; 4; 3; 1; 1; 1; 1; 1; 0; 2; 1; 0; 0; 0; 2; 4; 1; 0; 1; 1; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1, 10, 100, 200, 1000, 1, 0.5, 1, 1, 8, 4, 1, 240, 1, 30, 720, 0.5, 0.3, 1, 0.8, 0.001, 0.2, 0.8, 100, 0, 0, 20, 0, 10, 10, 200, 500, 200, 0, 1, 0, 0
1800, None, 777.524, 657.531, 0.901855, 1.0, 0.95, 68.0, 3988.0, 2; 1; 0; 0; 778; 41; 614; 131; 28; 253; 238; 18; 623; 64; 196; 195; 2925; 672; 356; 356; 374; 242; 206; 111; 122; 121; 82; 130; 41; 69; 43; 31; 65; 16; 18; 41; 13; 77; 16; 7; 32; 6; 336; 40; 26; 34; 25; 27; 16; 4; 21; 9; 8; 3; 2; 7; 5; 11; 1; 0; 1; 2; 0; 4; 3; 1; 1; 27; 5; 5; 2; 4; 1; 2; 1; 1; 0; 0; 2; 0; 2; 0; 1; 2; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 0; 0; 0; 1; 2; 0, 252.0, 28375.0, 5508; 3002; 901; 271; 74; 17; 8; 16; 34; 25; 10; 3; 2; 6; 26; 23; 15; 8; 3; 1; 4; 7; 6; 5; 0; 0; 1; 1; 2; 3; 1; 0; 0; 1; 3; 0; 2; 0; 0; 1; 2; 1; 1; 0; 0; 1; 0; 0; 0; 0; 1; 0; 0; 0; 0; 1; 0; 0; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1, 10, 100, 200, 1000, 1, 0.5, 1, 1, 8, 4, 1, 240, 1, 30, 720, 0.5, 0.3, 1, 0.8, 0.001, 0.2, 0.8, 100, 0, 0, 20, 0, 10, 10, 200, 500, 200, 0, 1, 0, 0
1600, None, 649.792, 7575.79, 0.901085, 0.999531, 0.95, 9.0, 4960.0, 49; 127; 71; 59; 773; 638; 544; 135; 494; 510; 479; 91; 344; 346; 3440; 343; 331; 171; 155; 77; 127; 51; 60; 39; 20; 31; 35; 20; 19; 30; 21; 16; 14; 26; 159; 35; 13; 15; 11; 7; 5; 7; 0; 5; 2; 4; 3; 5; 1; 2; 1; 2; 0; 3; 5; 7; 0; 5; 0; 2; 3; 1; 0; 0; 0; 0; 0; 1; 0; 0; 0; 1; 0; 0; 1; 2; 0; 0; 0; 0; 2; 1; 0; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 0; 0; 0; 0; 1, 289.0, 70227.0, 2523; 350; 52; 361; 127; 707; 602; 196; 682; 383; 234; 374; 229; 284; 347; 176; 269; 266; 142; 177; 151; 120; 132; 90; 87; 118; 76; 60; 77; 52; 50; 59; 35; 47; 40; 36; 27; 21; 14; 21; 17; 22; 21; 17; 14; 10; 12; 9; 11; 3; 9; 9; 7; 6; 4; 6; 3; 1; 0; 3; 2; 3; 1; 2; 2; 4; 0; 1; 0; 1; 0; 1; 0; 0; 0; 0; 0; 0; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 2; 0; 0; 0; 1; 0; 0; 0; 0; 0; 1, 10, 100, 200, 1000, 1, 0.5, 1, 1, 8, 4, 1, 240, 1, 30, 720, 0.5, 0.3, 1, 0.8, 0.001, 0.2, 0.8, 100, 0, 0, 20, 0, 10, 10, 200, 500, 200, 0, 1, 0, 0
1500, None, 717.309, 4405.92, 0.901855, 1.0, 0.95, 38.0, 5230.0, 10; 19; 3; 473; 606; 717; 255; 265; 370; 659; 117; 304; 132; 3457; 456; 564; 207; 258; 87; 126; 82; 87; 23; 41; 15; 45; 3; 20; 21; 8; 13; 8; 200; 56; 39; 57; 46; 18; 17; 9; 14; 9; 4; 2; 1; 1; 3; 0; 2; 0; 0; 12; 15; 4; 10; 7; 5; 2; 2; 0; 0; 1; 0; 0; 0; 1; 0; 0; 0; 0; 1; 1; 3; 2; 2; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1, 280.0, 47018.0, 2657; 1740; 83; 55; 312; 678; 271; 83; 455; 502; 243; 125; 220; 329; 216; 107; 147; 180; 181; 99; 109; 107; 126; 95; 53; 51; 74; 62; 45; 38; 42; 64; 30; 37; 35; 38; 26; 13; 29; 20; 35; 14; 10; 11; 12; 11; 10; 9; 14; 6; 5; 7; 5; 3; 3; 11; 5; 5; 3; 3; 4; 8; 2; 0; 1; 0; 2; 4; 1; 2; 2; 0; 4; 2; 1; 1; 0; 1; 1; 1; 0; 0; 0; 0; 0; 1; 0; 0; 0; 1; 0; 0; 0; 0; 0; 1; 0; 0; 0; 0; 1, 10, 100, 200, 1000, 1, 0.5, 1, 1, 8, 4, 1, 240, 1, 30, 720, 0.5, 0.3, 1, 0.8, 0.001, 0.2, 0.8, 100, 0, 0, 20, 0, 10, 10, 200, 500, 200, 0, 1, 0, 0
1400, None, 745.243, 870.58, 0.866689, 0.966276, 0.95, 241.0, 4030.0, 788; 283; 547; 105; 40; 535; 256; 399; 155; 23; 288; 393; 2976; 453; 70; 235; 219; 294; 288; 139; 123; 168; 93; 156; 48; 0; 103; 47; 21; 53; 25; 37; 50; 12; 36; 11; 20; 25; 13; 247; 6; 21; 21; 17; 14; 24; 3; 10; 22; 5; 4; 3; 4; 2; 3; 2; 0; 1; 2; 1; 5; 3; 0; 3; 0; 20; 2; 4; 1; 5; 0; 2; 1; 2; 1; 4; 1; 1; 0; 1; 0; 0; 0; 0; 0; 0; 0; 1; 0; 0; 0; 3; 0; 0; 0; 0; 0; 0; 0; 0; 1, 283.0, 10053.0, 300; 721; 885; 1113; 1369; 1407; 1304; 1027; 628; 295; 186; 97; 87; 97; 87; 85; 77; 63; 45; 38; 26; 9; 5; 8; 3; 2; 6; 5; 2; 1; 1; 1; 0; 3; 2; 1; 0; 0; 0; 0; 0; 0; 1; 0; 2; 0; 0; 1; 0; 0; 2; 3; 0; 0; 1; 1; 0; 0; 0; 0; 1; 0; 0; 0; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1, 10, 100, 200, 1000, 1, 0.5, 1, 1, 8, 4, 1, 240, 1, 30, 720, 0.5, 0.3, 1, 0.8, 0.001, 0.2, 0.8, 100, 0, 0, 20, 0, 10, 10, 200, 500, 200, 0, 1, 0, 0
1500, None, 844.247, 1040.66, 0.863085, 0.962497, 0.95, 240.0, 4091.0, 478; 229; 255; 335; 162; 298; 158; 214; 266; 98; 205; 312; 759; 991; 730; 687; 838; 394; 307; 198; 213; 183; 188; 148; 102; 75; 74; 67; 72; 61; 25; 40; 31; 29; 40; 15; 27; 38; 79; 124; 30; 72; 75; 34; 30; 17; 20; 15; 30; 13; 13; 5; 2; 2; 5; 3; 4; 6; 3; 2; 0; 1; 3; 4; 9; 16; 2; 3; 6; 6; 3; 3; 3; 1; 0; 2; 1; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 1; 0; 2; 2; 1; 0; 0; 0; 2; 1, 302.0, 4371.0, 8; 35; 53; 105; 693; 263; 121; 331; 176; 189; 343; 222; 262; 356; 381; 576; 708; 723; 957; 605; 432; 328; 235; 218; 163; 145; 118; 112; 89; 72; 53; 47; 36; 38; 33; 24; 30; 44; 46; 47; 49; 48; 56; 60; 50; 46; 51; 28; 19; 13; 20; 6; 8; 17; 7; 10; 7; 4; 2; 4; 6; 4; 2; 1; 1; 2; 12; 7; 5; 3; 4; 4; 5; 3; 1; 3; 2; 0; 2; 1; 0; 0; 0; 1; 1; 1; 0; 1; 0; 0; 0; 0; 1; 4; 0; 0; 0; 0; 0; 0; 1, 10, 100, 200, 1000, 1, 0.5, 1, 1, 8, 4, 1, 240, 1, 30, 720, 0.5, 0.3, 1, 0.8, 0.001, 0.2, 0.8, 100, 0, 0, 20, 0, 10, 10, 200, 500, 200, 0, 1, 0, 0
1400, None, 794.898, 4039.75, 0.851567, 0.951396, 0.95, 48.0, 5460.0, 8; 28; 20; 727; 29; 391; 19; 480; 73; 422; 256; 206; 3890; 599; 439; 475; 368; 141; 172; 86; 94; 20; 69; 59; 22; 25; 31; 42; 4; 46; 341; 98; 70; 50; 44; 26; 16; 10; 11; 2; 4; 1; 2; 1; 6; 1; 4; 0; 4; 38; 6; 6; 3; 3; 1; 0; 0; 1; 0; 1; 0; 0; 0; 0; 1; 0; 0; 3; 2; 1; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1, 262.0, 58333.0, 3906; 2166; 207; 121; 477; 201; 132; 476; 244; 120; 189; 208; 63; 106; 144; 81; 59; 94; 54; 41; 46; 63; 39; 54; 34; 26; 24; 59; 24; 23; 36; 32; 20; 16; 22; 25; 15; 21; 21; 19; 22; 15; 10; 16; 10; 10; 11; 6; 8; 8; 9; 5; 11; 12; 7; 11; 7; 5; 7; 6; 6; 10; 8; 6; 4; 4; 1; 4; 3; 4; 6; 6; 2; 4; 3; 1; 4; 3; 6; 0; 1; 1; 1; 0; 2; 0; 0; 0; 0; 0; 0; 1; 2; 2; 0; 0; 0; 0; 0; 0; 1, 10, 100, 200, 1000, 1, 0.5, 1, 1, 8, 4, 1, 240, 1, 30, 720, 0.5, 0.3, 1, 0.8, 0.001, 0.2, 0.8, 100, 0, 0, 20, 0, 10, 10, 200, 500, 200, 0, 1, 0, 0
1300, None, 685.498, 3911.32, 0.883797, 0.983053, 0.95, 108.0, 3890.0, 17; 0; 8; 495; 615; 147; 754; 73; 247; 303; 155; 708; 116; 21; 374; 140; 3140; 570; 115; 432; 178; 208; 93; 144; 123; 99; 43; 75; 27; 33; 27; 25; 64; 16; 7; 23; 11; 25; 14; 3; 16; 9; 135; 39; 21; 16; 10; 17; 9; 4; 14; 4; 1; 4; 2; 2; 1; 0; 1; 0; 0; 0; 3; 2; 3; 0; 1; 0; 0; 8; 4; 2; 0; 1; 0; 0; 1; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1, 281.0, 49884.0, 3133; 2182; 178; 137; 223; 305; 73; 239; 565; 308; 85; 200; 417; 188; 79; 147; 215; 131; 102; 105; 107; 68; 60; 83; 66; 54; 33; 51; 38; 34; 28; 27; 33; 21; 18; 18; 20; 20; 12; 12; 16; 13; 18; 16; 10; 15; 13; 8; 6; 5; 4; 5; 4; 2; 2; 3; 7; 5; 1; 2; 5; 3; 1; 1; 5; 1; 0; 0; 3; 0; 1; 1; 1; 0; 0; 2; 0; 1; 1; 1; 0; 1; 0; 0; 0; 0; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1, 10, 100, 200, 1000, 1, 0.5, 1, 1, 8, 4, 1, 240, 1, 30, 720, 0.5, 0.3, 1, 0.8, 0.001, 0.2, 0.8, 100, 0, 0, 20, 0, 10, 10, 200, 500, 200, 0, 1, 0, 0
1200, None, 607.414, 8044.66, 0.901855, 1.0, 0.95, 10.0, 3048.0, 56; 89; 79; 215; 79; 60; 116; 573; 376; 337; 395; 492; 135; 130; 253; 350; 181; 369; 356; 75; 153; 268; 189; 2662; 432; 188; 160; 136; 116; 75; 107; 82; 48; 52; 53; 33; 24; 51; 14; 7; 18; 26; 13; 21; 16; 9; 6; 25; 11; 11; 16; 11; 3; 11; 7; 8; 105; 16; 14; 12; 11; 10; 12; 5; 3; 5; 7; 1; 2; 2; 1; 1; 0; 1; 1; 2; 0; 0; 0; 1; 0; 0; 0; 1; 0; 0; 0; 0; 0; 4; 2; 0; 0; 1; 0; 0; 0; 1; 0; 0; 1, 420.0, 67977.0, 1504; 441; 118; 433; 142; 757; 1115; 189; 468; 625; 242; 477; 356; 181; 374; 286; 157; 233; 179; 152; 165; 122; 83; 110; 90; 77; 70; 77; 74; 59; 65; 53; 43; 40; 33; 33; 29; 37; 34; 31; 26; 15; 18; 14; 17; 8; 10; 13; 5; 9; 8; 9; 9; 4; 8; 8; 3; 5; 6; 1; 6; 3; 3; 7; 2; 5; 1; 2; 5; 2; 1; 2; 2; 1; 2; 1; 0; 0; 0; 0; 1; 0; 0; 0; 1; 1; 0; 0; 0; 0; 0; 0; 1; 0; 0; 0; 0; 0; 0; 1; 0, 10, 100, 200, 1000, 1, 0.5, 1, 1, 8, 4, 1, 240, 1, 30, 720, 0.5, 0.3, 1, 0.8, 0.001, 0.2, 0.8, 100, 0, 0, 20, 0, 10, 10, 200, 500, 200, 0, 1, 0, 0
