time_limit, cost_limit, E_time, E_cost, P_success_inf, P_success_sup, P_success_confidence, time_distribution_low, time_distribution_up, time_distribution_hist, cost_distribution_low, cost_distribution_up, cost_distribution_hist, t_d_dk, t_d_cp, t_d_cc, t_d_dsr,  p_d_dk, p_d_cp, p_d_cc, p_d_dsr, t_a_ad, t_a_ic, t_a_p, t_a_sp, t_a_bf, t_a_ss, t_a_fue, p_a_ad, p_a_ic, p_a_p, p_a_sp, p_a_bf, p_a_ss, p_a_fue, w_a_ad, w_a_ic, w_a_p, w_a_sp, w_a_bf, w_a_ss, w_a_fue, wp_a_ad, wp_a_ic, wp_a_p, wp_a_sp, wp_a_bf, wp_a_ss, wp_a_fue
10000, None, 1130.87, 1417.73, 0.901855, 1.0, 0.95, 750.0, 6860.0, 2962; 1749; 1216; 756; 278; 393; 272; 174; 88; 67; 23; 31; 15; 5; 11; 6; 584; 199; 275; 173; 128; 74; 52; 15; 21; 27; 10; 6; 5; 5; 0; 1; 60; 46; 64; 46; 26; 13; 16; 10; 2; 3; 0; 4; 0; 1; 1; 1; 0; 24; 12; 8; 4; 3; 3; 3; 3; 1; 0; 0; 1; 1; 1; 0; 0; 6; 0; 4; 2; 2; 3; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 2; 1; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1, 1220.0, 27930.0, 7535; 1737; 479; 142; 48; 10; 6; 1; 9; 5; 3; 0; 1; 0; 0; 2; 1; 0; 1; 1; 0; 0; 0; 1; 2; 0; 0; 0; 0; 0; 1; 0; 1; 0; 0; 0; 0; 0; 3; 3; 0; 0; 0; 1; 0; 0; 1; 0; 0; 0; 0; 0; 1; 0; 0; 0; 0; 0; 0; 0; 1; 0; 0; 0; 0; 0; 0; 0; 1; 0; 0; 1; 0; 0; 0; 0; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 0, 10, 100, 200, 1000, 1, 0.5, 1, 1, 8, 4, 1, 440, 1, 30, 720, 0.5, 0.3, 1, 0.8, 0.0001, 0.2, 0.8, 100, 0, 0, 200, 0, 10, 10, 200, 500, 1000, 0, 1, 0, 0
2000, None, 961.042, 6604.97, 0.887691, 0.987478, 0.95, 440.0, 4861.0, 266; 68; 118; 19; 154; 56; 4602; 1059; 407; 340; 409; 163; 149; 113; 192; 74; 89; 38; 55; 44; 24; 13; 17; 25; 14; 17; 5; 22; 542; 153; 88; 71; 119; 50; 56; 20; 21; 11; 26; 11; 8; 11; 5; 0; 0; 5; 2; 6; 1; 0; 1; 64; 46; 1; 34; 11; 14; 5; 3; 5; 4; 2; 2; 4; 0; 0; 1; 0; 0; 0; 2; 0; 0; 0; 18; 5; 2; 1; 2; 5; 2; 1; 1; 0; 0; 1; 0; 0; 0; 1; 0; 0; 0; 0; 0; 0; 1; 2; 0; 0; 1, 1330.0, 60658.0, 356; 2507; 1201; 362; 327; 541; 312; 343; 563; 358; 172; 332; 339; 128; 171; 272; 147; 120; 194; 123; 68; 95; 134; 55; 55; 89; 76; 36; 58; 50; 19; 35; 49; 15; 22; 27; 25; 17; 20; 14; 11; 15; 15; 11; 6; 12; 9; 2; 11; 13; 1; 7; 5; 7; 9; 5; 4; 3; 2; 0; 2; 0; 1; 3; 0; 3; 3; 2; 0; 1; 2; 0; 0; 0; 0; 1; 0; 1; 0; 0; 0; 0; 0; 0; 0; 2; 0; 0; 1; 0; 0; 1; 0; 0; 0; 1; 0; 0; 0; 0; 1, 10, 100, 200, 1000, 1, 0.5, 1, 1, 8, 4, 1, 440, 1, 30, 720, 0.5, 0.3, 1, 0.8, 0.0001, 0.2, 0.8, 100, 0, 0, 200, 0, 10, 10, 200, 500, 1000, 0, 1, 0, 0
1800, None, 1127.59, 72.461, 0.811702, 0.911483, 0.95, 750.0, 5780.0, 2860; 1042; 1512; 984; 347; 260; 399; 249; 71; 67; 97; 59; 23; 20; 25; 17; 8; 2; 3; 328; 244; 209; 289; 193; 80; 48; 66; 32; 22; 15; 19; 12; 5; 6; 4; 3; 5; 2; 1; 54; 53; 70; 29; 31; 12; 10; 7; 10; 5; 2; 0; 1; 0; 1; 2; 2; 0; 1; 0; 13; 5; 22; 3; 7; 2; 3; 2; 0; 0; 3; 2; 0; 0; 1; 0; 0; 0; 1; 0; 3; 2; 3; 1; 4; 1; 2; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 1, 20.0, 610.0, 1615; 1314; 0; 332; 0; 1267; 900; 0; 893; 0; 688; 619; 0; 466; 0; 129; 350; 0; 236; 0; 246; 0; 198; 166; 0; 121; 0; 23; 102; 0; 67; 0; 61; 54; 0; 30; 0; 23; 6; 0; 21; 0; 11; 0; 10; 11; 0; 7; 0; 7; 3; 0; 6; 0; 2; 3; 0; 0; 0; 4; 0; 1; 0; 0; 1; 0; 3; 2; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1, 10, 100, 200, 1000, 1, 0.5, 1, 1, 8, 4, 1, 440, 1, 30, 720, 0.5, 0.3, 1, 0.8, 0.0001, 0.2, 0.8, 100, 0, 0, 200, 0, 10, 10, 200, 500, 1000, 0, 1, 0, 0
1600, None, 915.263, 7027.58, 0.816972, 0.916916, 0.95, 440.0, 4720.0, 327; 61; 252; 26; 89; 109; 4532; 1078; 156; 654; 271; 318; 128; 247; 97; 111; 63; 30; 38; 30; 7; 46; 11; 23; 13; 33; 7; 3; 24; 487; 187; 77; 58; 93; 27; 29; 42; 26; 12; 11; 5; 6; 5; 4; 8; 0; 2; 1; 1; 5; 0; 2; 0; 59; 13; 6; 7; 9; 2; 2; 4; 2; 1; 0; 1; 1; 0; 0; 0; 0; 2; 0; 0; 0; 0; 0; 7; 2; 3; 0; 2; 1; 0; 0; 1; 0; 1; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1, 1679.0, 61146.0, 300; 2543; 1785; 39; 57; 367; 240; 215; 690; 466; 168; 248; 460; 184; 145; 314; 159; 99; 150; 179; 88; 94; 144; 88; 59; 92; 79; 42; 48; 51; 25; 34; 62; 23; 17; 30; 24; 10; 18; 26; 16; 13; 8; 8; 11; 6; 3; 7; 0; 9; 3; 4; 7; 5; 6; 3; 3; 0; 2; 2; 2; 2; 2; 2; 1; 2; 2; 1; 2; 0; 1; 0; 0; 0; 1; 0; 1; 1; 0; 0; 0; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1, 10, 100, 200, 1000, 1, 0.5, 1, 1, 8, 4, 1, 440, 1, 30, 720, 0.5, 0.3, 1, 0.8, 0.0001, 0.2, 0.8, 100, 0, 0, 200, 0, 10, 10, 200, 500, 1000, 0, 1, 0, 0
1500, None, 948.107, 7077.31, 0.785438, 0.885352, 0.95, 440.0, 4720.0, 342; 73; 219; 31; 79; 119; 4363; 1101; 62; 699; 242; 380; 134; 142; 121; 114; 90; 36; 41; 52; 21; 56; 9; 22; 15; 29; 9; 3; 31; 307; 189; 100; 81; 137; 71; 70; 13; 65; 32; 42; 9; 10; 14; 5; 7; 5; 3; 8; 2; 3; 1; 5; 1; 68; 24; 9; 13; 23; 1; 1; 5; 5; 1; 2; 0; 1; 2; 0; 0; 1; 0; 0; 0; 0; 0; 0; 11; 3; 4; 2; 2; 1; 0; 0; 2; 0; 1; 0; 0; 1; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 1, 1680.0, 52259.0, 316; 1584; 2412; 306; 17; 123; 495; 280; 105; 310; 494; 268; 125; 278; 341; 185; 98; 178; 273; 139; 85; 129; 180; 99; 70; 102; 118; 49; 37; 59; 95; 53; 54; 45; 46; 33; 19; 50; 32; 20; 19; 21; 23; 19; 16; 18; 21; 5; 6; 19; 10; 7; 7; 7; 7; 9; 5; 8; 8; 4; 8; 4; 3; 6; 5; 2; 1; 2; 4; 5; 2; 2; 0; 0; 2; 1; 3; 1; 0; 0; 0; 1; 0; 0; 2; 2; 0; 0; 0; 0; 0; 0; 0; 0; 2; 0; 0; 0; 0; 0; 1, 10, 100, 200, 1000, 1, 0.5, 1, 1, 8, 4, 1, 440, 1, 30, 720, 0.5, 0.3, 1, 0.8, 0.0001, 0.2, 0.8, 100, 0, 0, 200, 0, 10, 10, 200, 500, 1000, 0, 1, 0, 0
1400, None, 931.614, 7506.4, 0.805931, 0.905875, 0.95, 441.0, 5008.0, 344; 81; 89; 11; 187; 64; 5605; 424; 342; 397; 174; 200; 164; 111; 95; 65; 34; 57; 21; 39; 11; 12; 41; 6; 31; 3; 32; 10; 812; 81; 49; 58; 28; 30; 22; 20; 11; 6; 4; 8; 2; 5; 0; 8; 8; 3; 2; 0; 2; 87; 31; 6; 16; 5; 5; 3; 8; 1; 0; 1; 0; 3; 2; 0; 0; 1; 0; 0; 2; 0; 0; 6; 1; 3; 1; 0; 2; 0; 0; 1; 0; 0; 0; 1; 0; 1; 0; 1; 0; 0; 0; 0; 0; 2; 0; 0; 0; 0; 0; 0; 1, 1330.0, 80039.0, 868; 3510; 244; 215; 209; 300; 760; 252; 458; 363; 216; 334; 177; 276; 162; 153; 178; 134; 147; 85; 88; 110; 73; 72; 59; 67; 47; 39; 54; 27; 27; 21; 17; 32; 25; 17; 22; 15; 17; 9; 7; 6; 15; 7; 8; 4; 13; 12; 3; 5; 4; 2; 5; 1; 4; 2; 2; 1; 3; 1; 0; 0; 1; 1; 0; 0; 3; 2; 1; 1; 1; 0; 0; 3; 0; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 0; 0; 0; 0; 0; 1, 10, 100, 200, 1000, 1, 0.5, 1, 1, 8, 4, 1, 440, 1, 30, 720, 0.5, 0.3, 1, 0.8, 0.0001, 0.2, 0.8, 100, 0, 0, 200, 0, 10, 10, 200, 500, 1000, 0, 1, 0, 0
1500, None, 1126.98, 73.85, 0.762308, 0.862027, 0.95, 750.0, 5780.0, 2975; 1085; 1397; 919; 307; 280; 417; 248; 78; 61; 102; 65; 18; 20; 22; 17; 5; 9; 9; 332; 251; 192; 307; 197; 59; 62; 65; 48; 19; 8; 19; 12; 2; 12; 2; 3; 2; 2; 0; 44; 47; 77; 31; 32; 10; 14; 7; 10; 4; 6; 2; 5; 3; 2; 0; 1; 0; 0; 0; 16; 11; 13; 3; 10; 3; 4; 2; 2; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 2; 1; 1; 1; 2; 0; 3; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1, 20.0, 630.0, 1591; 1329; 0; 299; 1340; 0; 821; 0; 851; 721; 0; 609; 0; 489; 111; 0; 361; 0; 253; 237; 0; 186; 155; 0; 121; 0; 39; 81; 0; 74; 0; 69; 41; 0; 44; 0; 43; 11; 0; 20; 16; 0; 16; 0; 14; 10; 0; 7; 0; 1; 7; 0; 3; 0; 4; 5; 0; 3; 0; 4; 1; 0; 3; 3; 0; 2; 0; 1; 0; 0; 1; 0; 0; 1; 0; 0; 0; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1, 10, 100, 200, 1000, 1, 0.5, 1, 1, 8, 4, 1, 440, 1, 30, 720, 0.5, 0.3, 1, 0.8, 0.0001, 0.2, 0.8, 100, 0, 0, 200, 0, 10, 10, 200, 500, 1000, 0, 1, 0, 0
1400, None, 951.323, 4038.09, 0.759819, 0.859624, 0.95, 440.0, 4750.0, 388; 67; 119; 19; 118; 122; 4467; 1089; 8; 730; 254; 358; 130; 121; 100; 120; 65; 29; 52; 56; 30; 29; 3; 43; 7; 27; 4; 15; 29; 380; 298; 72; 111; 41; 76; 53; 31; 14; 26; 11; 7; 7; 6; 2; 3; 3; 5; 2; 8; 0; 1; 5; 87; 47; 14; 7; 15; 3; 12; 0; 8; 2; 7; 2; 0; 1; 0; 0; 0; 1; 1; 0; 1; 0; 1; 1; 19; 0; 1; 1; 2; 0; 0; 1; 0; 0; 0; 0; 1; 0; 0; 0; 0; 1; 0; 0; 0; 0; 0; 0; 3, 1329.0, 49827.0, 204; 2048; 3990; 1239; 123; 227; 340; 177; 143; 135; 132; 89; 131; 111; 87; 56; 46; 52; 46; 45; 44; 47; 26; 26; 37; 38; 16; 21; 32; 24; 20; 16; 22; 13; 7; 14; 16; 17; 8; 9; 6; 13; 7; 7; 3; 7; 3; 6; 5; 7; 0; 3; 6; 4; 3; 1; 2; 4; 2; 4; 1; 2; 0; 4; 3; 0; 0; 2; 2; 1; 0; 2; 2; 1; 0; 0; 1; 1; 3; 1; 0; 0; 0; 0; 0; 0; 2; 0; 0; 2; 0; 0; 0; 0; 0; 0; 0; 1; 1; 0; 1, 10, 100, 200, 1000, 1, 0.5, 1, 1, 8, 4, 1, 440, 1, 30, 720, 0.5, 0.3, 1, 0.8, 0.0001, 0.2, 0.8, 100, 0, 0, 200, 0, 10, 10, 200, 500, 1000, 0, 1, 0, 0
1300, None, 874.504, 8021.08, 0.800547, 0.900525, 0.95, 38.0, 5690.0, 186; 237; 86; 143; 87; 27; 37; 326; 174; 70; 105; 94; 4649; 459; 703; 438; 260; 170; 163; 125; 36; 61; 36; 48; 13; 23; 29; 6; 20; 559; 137; 61; 76; 57; 26; 19; 13; 17; 6; 7; 6; 1; 7; 2; 0; 1; 1; 95; 22; 9; 16; 6; 6; 0; 0; 0; 1; 2; 2; 1; 3; 1; 0; 0; 1; 13; 3; 2; 3; 0; 2; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 2; 1; 0; 0; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1, 1591.0, 49020.0, 37; 38; 99; 59; 105; 309; 1389; 1316; 415; 596; 1197; 685; 351; 206; 284; 373; 198; 136; 198; 257; 166; 147; 135; 141; 143; 81; 62; 87; 75; 55; 67; 55; 66; 43; 31; 29; 43; 29; 20; 28; 26; 17; 16; 10; 17; 21; 4; 11; 18; 15; 6; 4; 6; 11; 4; 2; 6; 5; 6; 7; 1; 1; 1; 0; 2; 1; 4; 3; 0; 2; 3; 2; 2; 2; 2; 0; 0; 0; 0; 0; 0; 1; 4; 0; 2; 0; 0; 1; 0; 0; 0; 0; 2; 0; 0; 0; 0; 0; 0; 0; 1, 10, 100, 200, 1000, 1, 0.5, 1, 1, 8, 4, 1, 440, 1, 30, 720, 0.5, 0.3, 1, 0.8, 0.0001, 0.2, 0.8, 100, 0, 0, 200, 0, 10, 10, 200, 500, 1000, 0, 1, 0, 0
1200, None, 1131.08, 1073.25, 0.738116, 0.837857, 0.95, 750.0, 6750.0, 2964; 1869; 1137; 761; 282; 366; 257; 77; 119; 73; 41; 29; 9; 12; 3; 4; 308; 242; 369; 255; 140; 115; 59; 47; 12; 16; 12; 9; 4; 6; 2; 2; 2; 111; 42; 61; 35; 21; 16; 11; 6; 8; 5; 0; 1; 1; 0; 0; 0; 0; 29; 12; 12; 5; 3; 4; 1; 1; 1; 0; 0; 0; 1; 0; 0; 0; 2; 1; 2; 0; 0; 0; 2; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 0; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1, 1020.0, 1520.0, 1686; 0; 1232; 0; 323; 0; 1282; 0; 915; 0; 837; 0; 701; 0; 643; 0; 471; 0; 108; 0; 374; 0; 211; 0; 239; 0; 178; 0; 153; 0; 127; 0; 37; 0; 107; 0; 76; 0; 64; 0; 48; 0; 28; 0; 27; 0; 5; 0; 22; 0; 17; 0; 16; 0; 17; 0; 9; 0; 8; 0; 1; 0; 8; 0; 3; 0; 7; 0; 4; 0; 4; 0; 0; 0; 1; 0; 3; 0; 1; 0; 0; 0; 2; 0; 1; 0; 0; 0; 1; 0; 0; 0; 1; 0; 1; 0; 0; 0; 0; 0; 1, 10, 100, 200, 1000, 1, 0.5, 1, 1, 8, 4, 1, 440, 1, 30, 720, 0.5, 0.3, 1, 0.8, 0.0001, 0.2, 0.8, 100, 0, 0, 200, 0, 10, 10, 200, 500, 1000, 0, 1, 0, 0
