time_limit, cost_limit, E_time, E_cost, P_success_inf, P_success_sup, P_success_confidence, time_distribution_low, time_distribution_up, time_distribution_hist, cost_distribution_low, cost_distribution_up, cost_distribution_hist, t_d_dk, t_d_cp, t_d_cc, t_d_dsr,  p_d_dk, p_d_cp, p_d_cc, p_d_dsr, t_a_ad, t_a_ic, t_a_p, t_a_sp, t_a_bf, t_a_ss, t_a_fue, p_a_ad, p_a_ic, p_a_p, p_a_sp, p_a_bf, p_a_ss, p_a_fue, w_a_ad, w_a_ic, w_a_p, w_a_sp, w_a_bf, w_a_ss, w_a_fue, wp_a_ad, wp_a_ic, wp_a_p, wp_a_sp, wp_a_bf, wp_a_ss, wp_a_fue
10000, None, 899.891, 64.116, 0.901855, 1.0, 0.95, 720.0, 5040.0, 7963; 3; 8; 3; 6; 3; 6; 1; 0; 0; 1; 0; 0; 0; 0; 0; 1610; 2; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 322; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 59; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 7; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 3; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 2, 20.0, 1232.0, 3205; 1325; 1099; 834; 1276; 441; 348; 304; 246; 308; 109; 106; 84; 64; 83; 30; 29; 27; 24; 3; 3; 2; 3; 1; 2; 0; 0; 0; 12; 0; 1; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 2; 7; 4; 1; 2; 1; 0; 1; 1; 1; 0; 0; 0; 0; 0; 2; 1; 0; 1; 2; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 0; 0; 0; 0; 0; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 1, 100000, 100000, 100000, 100000, 1, 0.5, 1, 1, 8, 4, 1, 440, 1, 30, 720, 0.5, 0.3, 1, 0.8, 0.001, 0.2, 0.8, 10, 0, 0, 20, 0, 10, 10, 20, 50, 100, 0, 1, 0, 0
2000, None, 1376.04, 207.106, 0.901855, 1.0, 0.95, 440.0, 100000.0, 9803; 109; 2; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 86, 140.0, 3702.0, 5717; 2404; 769; 424; 31; 54; 53; 27; 74; 26; 14; 49; 52; 27; 47; 24; 14; 22; 12; 25; 21; 7; 3; 12; 12; 15; 7; 2; 3; 6; 6; 4; 2; 4; 5; 2; 1; 5; 1; 1; 1; 1; 1; 2; 1; 3; 0; 0; 1; 2; 0; 0; 0; 0; 0; 0; 0; 1; 0; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1, 100000, 100000, 100000, 100000, 1, 0.5, 1, 1, 8, 4, 1, 440, 1, 30, 720, 0.5, 0.3, 1, 0.8, 0.001, 0.2, 0.8, 10, 0, 0, 20, 0, 10, 10, 20, 50, 100, 0, 1, 0, 0
1800, None, 1050.36, 62.529, 0.901855, 1.0, 0.95, 750.0, 5370.0, 2840; 1812; 640; 966; 352; 485; 178; 261; 92; 134; 47; 59; 40; 20; 19; 354; 472; 172; 235; 98; 144; 47; 65; 15; 30; 20; 3; 8; 2; 11; 2; 96; 42; 76; 17; 26; 10; 20; 4; 6; 3; 0; 0; 0; 1; 0; 11; 6; 16; 2; 6; 5; 1; 3; 2; 2; 0; 0; 0; 0; 0; 1; 4; 2; 4; 0; 2; 1; 1; 0; 0; 0; 0; 0; 0; 0; 0; 2; 0; 0; 1; 1; 0; 0; 0; 0; 0; 1; 0; 0; 0; 0; 0; 1; 0; 0; 0; 0; 0; 0; 1, 20.0, 510.0, 1620; 0; 1591; 0; 1368; 0; 1063; 0; 877; 0; 683; 0; 555; 0; 445; 0; 368; 0; 281; 0; 228; 0; 184; 0; 145; 0; 109; 0; 101; 0; 78; 0; 64; 0; 48; 0; 36; 0; 30; 0; 22; 0; 22; 0; 9; 0; 15; 0; 13; 0; 0; 8; 0; 8; 0; 4; 0; 8; 0; 4; 0; 5; 0; 0; 0; 1; 0; 1; 0; 0; 0; 2; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 0; 0; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 0, 100000, 100000, 100000, 100000, 1, 0.5, 1, 1, 8, 4, 1, 440, 1, 30, 720, 0.5, 0.3, 1, 0.8, 0.001, 0.2, 0.8, 10, 0, 0, 20, 0, 10, 10, 20, 50, 100, 0, 1, 0, 0
1600, None, 1376.69, 209.549, 0.901855, 1.0, 0.95, 440.0, 100000.0, 9778; 134; 2; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 86, 140.0, 2904.0, 4721; 2491; 1212; 667; 243; 105; 53; 55; 40; 31; 18; 11; 1; 10; 46; 27; 12; 9; 9; 1; 2; 11; 12; 9; 7; 1; 1; 3; 28; 12; 3; 3; 2; 1; 2; 15; 12; 2; 4; 1; 1; 5; 6; 28; 2; 1; 0; 0; 1; 3; 11; 1; 1; 2; 0; 1; 6; 0; 2; 2; 0; 3; 2; 4; 2; 1; 0; 0; 1; 1; 2; 2; 3; 2; 0; 0; 0; 1; 1; 0; 0; 0; 0; 1; 2; 1; 2; 0; 0; 0; 1; 0; 0; 0; 1; 0; 0; 0; 0; 0; 1, 100000, 100000, 100000, 100000, 1, 0.5, 1, 1, 8, 4, 1, 440, 1, 30, 720, 0.5, 0.3, 1, 0.8, 0.001, 0.2, 0.8, 10, 0, 0, 20, 0, 10, 10, 20, 50, 100, 0, 1, 0, 0
1500, None, 605.954, 614.436, 0.901855, 1.0, 0.95, 441.0, 100000.0, 9959; 40; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1, 151.0, 2928.0, 46; 227; 254; 253; 238; 244; 233; 243; 218; 224; 177; 199; 389; 211; 201; 2113; 1740; 603; 504; 44; 41; 31; 46; 4; 12; 156; 77; 66; 43; 40; 24; 51; 157; 104; 49; 38; 18; 12; 35; 226; 82; 50; 33; 17; 3; 24; 35; 32; 23; 10; 11; 4; 11; 7; 9; 6; 4; 4; 0; 5; 9; 7; 4; 2; 1; 2; 1; 1; 0; 1; 1; 0; 2; 1; 0; 2; 0; 0; 0; 1; 0; 0; 0; 0; 1; 0; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 1; 0; 0; 0; 1, 100000, 100000, 100000, 100000, 1, 0.5, 1, 1, 8, 4, 1, 440, 1, 30, 720, 0.5, 0.3, 1, 0.8, 0.001, 0.2, 0.8, 10, 0, 0, 20, 0, 10, 10, 20, 50, 100, 0, 1, 0, 0
1400, None, 1180.9, 155.314, 0.887691, 0.987478, 0.95, 720.0, 100000.0, 9904; 55; 3; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 38, 20.0, 1345.0, 2905; 1070; 813; 1171; 426; 354; 478; 166; 136; 202; 62; 52; 73; 25; 21; 72; 17; 20; 28; 13; 6; 16; 44; 31; 38; 30; 22; 32; 34; 20; 44; 38; 18; 18; 17; 12; 10; 220; 200; 134; 212; 61; 56; 99; 42; 27; 36; 24; 15; 27; 19; 26; 50; 31; 24; 28; 19; 10; 14; 4; 5; 6; 7; 6; 2; 8; 0; 6; 7; 3; 2; 10; 3; 6; 1; 0; 1; 3; 0; 1; 2; 0; 0; 1; 2; 0; 3; 2; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1, 100000, 100000, 100000, 100000, 1, 0.5, 1, 1, 8, 4, 1, 440, 1, 30, 720, 0.5, 0.3, 1, 0.8, 0.001, 0.2, 0.8, 10, 0, 0, 20, 0, 10, 10, 20, 50, 100, 0, 1, 0, 0
1500, None, 562.701, 192.95, 0.901855, 1.0, 0.95, 440.0, 100000.0, 9967; 27; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 5, 140.0, 2041.0, 2858; 2448; 1585; 1048; 706; 426; 245; 171; 102; 75; 33; 50; 46; 20; 17; 7; 5; 6; 3; 1; 0; 28; 21; 16; 3; 7; 7; 4; 2; 3; 4; 6; 9; 3; 4; 3; 5; 0; 2; 0; 3; 2; 4; 0; 3; 0; 1; 0; 1; 1; 0; 0; 0; 1; 1; 0; 0; 0; 0; 0; 0; 0; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 0; 0; 0; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 0, 100000, 100000, 100000, 100000, 1, 0.5, 1, 1, 8, 4, 1, 440, 1, 30, 720, 0.5, 0.3, 1, 0.8, 0.001, 0.2, 0.8, 10, 0, 0, 20, 0, 10, 10, 20, 50, 100, 0, 1, 0, 0
1400, None, 691.808, 463.9, 0.901855, 1.0, 0.95, 34.0, 100000.0, 9884; 97; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 19, 310.0, 3598.0, 3343; 1707; 655; 920; 463; 337; 404; 356; 114; 171; 158; 200; 264; 101; 118; 140; 68; 86; 49; 30; 24; 24; 21; 20; 27; 19; 34; 36; 19; 5; 12; 3; 7; 9; 1; 3; 2; 1; 0; 3; 2; 3; 4; 4; 2; 3; 2; 1; 5; 2; 3; 2; 1; 2; 3; 2; 0; 1; 0; 0; 0; 0; 0; 0; 0; 1; 0; 0; 0; 0; 0; 0; 2; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 0, 100000, 100000, 100000, 100000, 1, 0.5, 1, 1, 8, 4, 1, 440, 1, 30, 720, 0.5, 0.3, 1, 0.8, 0.001, 0.2, 0.8, 10, 0, 0, 20, 0, 10, 10, 20, 50, 100, 0, 1, 0, 0
1300, None, 565.106, 415.897, 0.901855, 1.0, 0.95, 13.0, 100000.0, 9923; 69; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 8, 143.0, 3311.0, 1519; 354; 1507; 994; 911; 717; 163; 536; 394; 366; 282; 87; 274; 197; 169; 49; 150; 132; 72; 48; 63; 42; 43; 76; 80; 45; 33; 33; 27; 32; 43; 40; 34; 38; 29; 32; 40; 14; 28; 32; 15; 16; 14; 20; 27; 21; 8; 18; 12; 13; 5; 8; 8; 6; 4; 10; 5; 2; 9; 5; 4; 3; 2; 3; 6; 3; 4; 0; 5; 1; 3; 2; 1; 1; 1; 1; 0; 0; 0; 0; 1; 0; 2; 0; 1; 1; 0; 1; 1; 0; 0; 0; 0; 0; 0; 1; 0; 0; 0; 0; 1, 100000, 100000, 100000, 100000, 1, 0.5, 1, 1, 8, 4, 1, 440, 1, 30, 720, 0.5, 0.3, 1, 0.8, 0.001, 0.2, 0.8, 10, 0, 0, 20, 0, 10, 10, 20, 50, 100, 0, 1, 0, 0
1200, None, 1067.09, 225.805, 0.757374, 0.857253, 0.95, 721.0, 100000.0, 9435; 482; 68; 8; 2; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 4, 41.0, 3163.0, 1877; 561; 1663; 1187; 941; 279; 741; 551; 397; 253; 248; 261; 224; 140; 43; 149; 98; 76; 13; 9; 7; 4; 9; 7; 4; 1; 3; 9; 7; 1; 12; 2; 0; 32; 25; 12; 4; 1; 1; 6; 36; 17; 3; 3; 3; 5; 7; 11; 1; 3; 1; 3; 9; 4; 3; 3; 1; 2; 2; 5; 2; 3; 0; 0; 1; 1; 1; 1; 0; 0; 1; 1; 1; 0; 0; 1; 1; 0; 0; 0; 0; 0; 0; 1; 2; 0; 0; 0; 0; 0; 0; 0; 0; 1; 0; 0; 1; 0; 0; 0; 1, 100000, 100000, 100000, 100000, 1, 0.5, 1, 1, 8, 4, 1, 440, 1, 30, 720, 0.5, 0.3, 1, 0.8, 0.001, 0.2, 0.8, 10, 0, 0, 20, 0, 10, 10, 20, 50, 100, 0, 1, 0, 0
